price_ref,mid,bid,ask,inventory,cash,equity,reason
115234.81,115234.805,,,0.0,0.0,0.0,risk_block
115258.16,115246.485,,,0.0,0.0,0.0,risk_block
115292.74,115275.455,,,0.0,0.0,0.0,risk_block
115264.5,115278.625,,,0.0,0.0,0.0,risk_block
115281.0,115272.755,,,0.0,0.0,0.0,risk_block
115281.0,115281.005,,,0.0,0.0,0.0,risk_block
115281.0,115281.005,,,0.0,0.0,0.0,risk_block
115287.63,115284.455,,,0.0,0.0,0.0,risk_block
115349.01,115318.32,,,0.0,0.0,0.0,risk_block
115349.0,115349.005,,,0.0,0.0,0.0,risk_block
115357.19,115353.095,,,0.0,0.0,0.0,risk_block
115373.23,115365.20499999999,,,0.0,0.0,0.0,risk_block
115391.08,115382.15,,,0.0,0.0,0.0,risk_block
115403.5,115397.285,,,0.0,0.0,0.0,risk_block
115430.52,115417.005,,,0.0,0.0,0.0,risk_block
115469.84,115450.18,,,0.0,0.0,0.0,risk_block
115489.32,115479.58,,,0.0,0.0,0.0,risk_block
115500.0,115494.655,,,0.0,0.0,0.0,risk_block
115481.79,115490.89,,,0.0,0.0,0.0,risk_block
115463.41,115472.565,,,0.0,0.0,0.0,risk_block
115499.99,115481.705,,,0.0,0.0,0.0,risk_block
115499.99,115499.995,,,0.0,0.0,0.0,risk_block
115507.99,115503.995,,,0.0,0.0,0.0,risk_block
115501.4,115504.7,,,0.0,0.0,0.0,risk_block
115501.4,115501.405,,,0.0,0.0,0.0,risk_block
115498.72,115486.465,,,0.0,0.0,0.0,risk_block
115498.73,115498.725,,,0.0,0.0,0.0,risk_block
115540.19,115519.45999999999,,,0.0,0.0,0.0,risk_block
115575.82,115562.14,,,0.0,0.0,0.0,risk_block
115500.01,115537.91500000001,,,0.0,0.0,0.0,risk_block
115491.5,115510.285,,,0.0,0.0,0.0,risk_block
115463.41,115477.455,,,0.0,0.0,0.0,risk_block
115473.99,115468.70000000001,,,0.0,0.0,0.0,risk_block
